,id,SERIAL_NUMBER,MANUFACTURER,NAME,MODEL,LOCATION,ROOM,ENERGY_CONSUMPTION,BTU,MICROCODE,PATCH_LEVEL,CUSTOMER_ID,HOSTS_APPLICATION,TCPADDR1,TCPADDR2,TCPADDR3,SW_GUI,INVESTMENT_DATE,MAINTENANCE_EXPIRATION_DATE,MAINTENANCE_PROVIDER,MAINTENANCE_CONTRACT,IS_EXTENSION_REQUIRED,IS_MIGRATION_REQUIRED,RAID_CONFIG,USABLE_CAPACITY_GB,CAPACITY_IN_USE_GB,FREE_CAPACITY_GB,EXTENSION,COMMENT_1,STORAGE_TYPE,READADMIN,RACK,COST_CENTER,CO2_KG,SECOND_INVESTMENT_DATE
46,1325,75BACW0,IBM,SVCDVDI,2145-DH8,DUS,H2M6,220,650,,7.4.0.7,323087,SVC-VDI,10.16.72.60,10.16.72.61-62,,,31.03.2015,31.03.2019,IBM,,,,,,,,"75BACW0, 75BADA0",DH8,Virtualisierung,done,C7,3310-601,0.13,
47,1324,75BACL0,IBM,SVCFVDI,2145-DH8,FFM,M7,220,650,,7.7.1.6,879430,SVC-VDI,10.21.151.160,10.21.151.161,10.21.151.162,,31.03.2015,31.03.2019,IBM,,,,,,,,"75BACL0, 75BACP0,;DH8",Virtualisierung,done,H14,3310-601,0.13,,",,,,,,,"
48,1285,7894290,IBM,SWFFM01,2078 24C V5000,FFM,M4,0,,,7.5.0.2,879430,SVC-QUORUM FFM,10.21.151.135,10.21.151.136,10.21.151.137,,31.09.2015,31.09.2019,IBM,,,,,9000.0,,,,QUORUM Device Frankfurt SVC,SVC,,D17,,,
49,1284,7894284,IBM,SWDUS01,2078 24C V5000,DUS,BR8 NK,0,,,7.5.0.2,323087,SVC-QUORUM DUS,10.16.72.52,10.16.72.53,10.16.72.54,,31.09.2015,31.09.2019,IBM,,,,,9000.0,,,,QUORUM Device Düsseldorf SVC,SVC,,5,,,
50,1264,211522000256,NetApp,DUS30MSSIS02 v2,FAS8020,DUS,Rob2,0,,,,,Archiving Snaplock,10.16.212.61,,,,18.05.2016,12.06.2019,ComputaCenter,,,,,,,,2x24x4TB,2 Shelfs (24x4TB) added 24.04.2018,Archive,,A7,,,
51,1245,211522000255,NetApp,FFM30MSSIS02 v2,FAS8020,FFM,M7,0,,,,,Archiving Snaplock,10.21.2.167,,,,18.05.2016,12.06.2019,ComputaCenter,,,,,,,,,,Archive,,N18,,,01.05.2018 2-shelfs
52,1204,-,HP,3 x SDS Server,HP DL380 G9,DUS,H1M3,0,,,,,Amazon S3 Storage Array,,,,,31.05.2015,31.05.2018,HP,,,,,,,,,,,,G2,,,
53,1191,75BADG0,IBM,SVCD02,2145,DUS,H1M3,220,650,,7.4.0.4,323087,SVC-Prod,10.16.72.20,10.16.72.21-24,,,31.03.2015,31.03.2019,IBM,,,,,,,,"75BADF0, 75BADV0, 75BADY0",DH8,Virtualisierung,done,G7,3310-601,0.13,
54,1190,75BANB0,IBM,SVCD03,2145,DUS,H2M4,220,650,,7.4.0.4,323087,SVC-Prod,10.16.72.30,10.16.72.31-34,,,31.03.2015,31.03.2019,IBM,,,,,,,,"75BANC0, 75BAHT0, 75BAKA0",DH8,Virtualisierung,done,F8,3310-601,0.13,
55,1189,75BADW0,IBM,SVCF04,2145-DH8,FFM,M2,220,650,,7.7.1.6,879430,SVC-Prod,10.21.151.100,10.21.151.101-108,,,31.03.2015,31.03.2019,IBM,,,,,,,,"75BADX0, 75BAHW0, 75BAHP0, 75BAHH0, 75BAHN0, 75BANF0, 75BAND0",DH8,Virtualisierung,done,A18,3310-601,0.13,
